DisplayName;team;position;underposition;sessionDate;sessionType;allMaxSpeed;distanceTotal;distanceZ5Abs;distanceZ6Abs;maxSpeed;totalTime;entriesZ6Abs;Saison;
JOUEUR 09;Pro2;Defenseur;Central Centre;12/10/2024;Match Day -1;32,7;3947,638709;50,89728976;0;6,57222748;3054,499993;0;2024 - 2025;
JOUEUR 07;U19;Milieu;Milieu Offensif;15/01/2024;Match Day +2;32,83;4159,048282;13,32914545;0;6,2777828;3053,600001;0;2023 - 2024;
JOUEUR 15;U19;Milieu;Milieu Axial;15/01/2024;Match Day +2;33,2;3844,238708;1,12888367;0;5,694449;3053,600001;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;20/09/2025;Match Day -1;33,2;2692,082993;40,80296217;0;6,68333868;3052,900005;0;2025 - 2026;
JOUEUR 13;U17;Milieu;Milieu Defensif;29/11/2024;Match Day -1;30,29;3669,242129;69,76951568;0;6,5000052;3051,999985;0;2024 - 2025;
JOUEUR 10;Pro2;Attaquant;Attaquant;26/07/2024;Pre saison;37,37;4481,571673;0;0;7,40556148;3051,699978;0;2024 - 2025;
JOUEUR 08;U17;Defenseur;Central Centre;20/05/2025;Match Day -4;34,6;5045,687802;39,2708739;0;6,91389442;3050,399994;0;2024 - 2025;
JOUEUR 11;U17;Defenseur;Lateral Droit;20/05/2025;Match Day -4;33,2;4279,461462;43,66447177;0;6,79722766;3050,399994;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;20/05/2025;Match Day -4;33,13;4435,895531;99,373367;0;6,666672;3050,399994;0;2024 - 2025;
JOUEUR 09;Pro2;Defenseur;Central Centre;16/03/2025;Match Day;32,7;1177,310971;34,19778381;0;6,36944954;3049,199994;0;2024 - 2025;
JOUEUR 07;U19;Milieu;Milieu Offensif;18/08/2023;Pre saison;32,83;5463,284887;0;0;5,22778196;3047,299998;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;26/08/2025;Match Day +2;34,6;4445,517416;2,08165263;0;7,0138945;3042,100004;0;2025 - 2026;
JOUEUR 04;Pro2;Attaquant;;17/07/2024;Pre saison;36,3;3464,113853;9,7272238;0;6,78889432;3036,199983;0;2024 - 2025;
JOUEUR 15;U19;Milieu;Milieu Axial;17/07/2024;Pre saison;33,2;3313,408468;4,12169543;0;6,30278282;3036,199983;0;2024 - 2025;
JOUEUR 14;U19;Milieu;Milieu Axial;17/07/2024;Pre saison;33;3101,230696;10,3592079;0;5,96389366;3036,199983;0;2024 - 2025;
JOUEUR 07;U19;Milieu;Milieu Offensif;17/07/2024;Pre saison;32,83;3825,505778;0,5944417;0;5,9444492;3036,199983;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;17/07/2024;Pre saison;33,13;3414,135087;5,16280061;0;5,85833802;3036,199983;0;2024 - 2025;
JOUEUR 08;U17;Defenseur;Central Centre;17/07/2024;Pre saison;34,6;4021,963328;1,11999482;0;5,63056006;3036,199983;0;2024 - 2025;
JOUEUR 13;U17;Milieu;Milieu Defensif;17/07/2024;Pre saison;30,29;3765,076853;0;0;5,45000436;3036,199983;0;2024 - 2025;
JOUEUR 06;U19;Attaquant;Aillier Droit;17/07/2024;Pre saison;33,9;3240,549784;0;0;5,31389314;3036,199983;0;2024 - 2025;
